"","cow","year","milex","version"
"506","HAI",1943,-9,2011
"507","HAI",1944,-9,2011
"508","HAI",1945,-9,2011
"509","HAI",1946,1940,2011
"510","HAI",1947,2300,2011
"511","HAI",1948,2740,2011
"512","HAI",1949,3120,2011
"513","HAI",1950,3540,2011
"514","HAI",1951,3960,2011
"515","HAI",1952,4580,2011
"516","HAI",1953,5260,2011
"517","HAI",1954,5140,2011
"518","HAI",1955,5180,2011
"519","HAI",1956,5440,2011
"520","HAI",1957,5940,2011
"521","HAI",1958,7000,2011
"522","HAI",1959,6880,2011
"523","HAI",1960,6560,2011
"524","HAI",1961,6340,2011
"525","HAI",1962,6320,2011
"526","HAI",1963,6700,2011
"527","HAI",1964,7760,2011
"528","HAI",1965,7360,2011
"529","HAI",1966,7080,2011
"530","HAI",1967,7160,2011
"531","HAI",1968,7160,2011
"532","HAI",1969,7160,2011
"533","HAI",1970,7160,2011
"534","HAI",1971,7320,2011
"535","HAI",1972,7280,2011
"536","HAI",1973,7980,2011
"537","HAI",1974,8460,2011
"538","HAI",1975,10180,2011
"539","HAI",1976,11160,2011
"540","HAI",1977,12280,2011
"541","HAI",1978,13000,2011
"542","HAI",1979,13600,2011
"543","HAI",1980,15000,2011
"544","HAI",1981,24000,2011
"545","HAI",1982,26000,2011
"546","HAI",1983,28000,2011
"547","HAI",1984,30000,2011
"548","HAI",1985,30540,2011
"549","HAI",1986,-9,2011
"550","HAI",1987,42000,2011
"551","HAI",1988,35000,2011
"552","HAI",1989,45000,2011
"553","HAI",1990,16900,2011
"554","HAI",1991,29400,2011
"555","HAI",1992,55000,2011
"556","HAI",1993,-9,2011
"557","HAI",1994,-9,2011
"558","HAI",1995,59000,2011
"559","HAI",1996,102000,2011
"560","HAI",1997,46000,2011
"561","HAI",1998,49000,2011
"562","HAI",1999,50000,2011
"563","HAI",2000,43000,2011
"564","HAI",2001,40000,2011
"565","HAI",2002,32000,2011
"566","HAI",2003,22000,2011
"567","HAI",2004,-9,2011
"568","HAI",2005,-9,2011
"569","HAI",2006,-9,2011
"570","HAI",2007,-9,2011
"571","HAI",2008,-9,2011
"572","HAI",2009,-9,2011
"573","HAI",2010,-9,2011
"574","HAI",2011,-9,2011
"575","HAI",2012,-9,2011
"576","DOM",1894,-9,2011
"577","DOM",1895,-9,2011
"578","DOM",1896,-9,2011
"579","DOM",1897,-9,2011
"580","DOM",1898,-9,2011
"581","DOM",1899,-9,2011
"582","DOM",1900,-9,2011
"583","DOM",1901,-9,2011
"584","DOM",1902,-9,2011
"585","DOM",1903,87,2011
"586","DOM",1904,48,2011
"587","DOM",1905,74,2011
"588","DOM",1906,-9,2011
"589","DOM",1907,-9,2011
"590","DOM",1908,121,2011
"591","DOM",1909,146,2011
"592","DOM",1910,106,2011
"593","DOM",1911,-9,2011
"594","DOM",1912,-9,2011
"595","DOM",1913,237,2011
"596","DOM",1914,-9,2011
"597","DOM",1915,-9,2011
"598","DOM",1916,-9,2011
"599","DOM",1924,1081,2011
"600","DOM",1925,964,2011
"601","DOM",1926,860,2011
"602","DOM",1927,1500,2011
"603","DOM",1928,1600,2011
"604","DOM",1929,1500,2011
"605","DOM",1930,1100,2011
"606","DOM",1931,1100,2011
"607","DOM",1932,1100,2011
"608","DOM",1933,1100,2011
"609","DOM",1934,1200,2011
"610","DOM",1935,1000,2011
"611","DOM",1936,1800,2011
"612","DOM",1937,2000,2011
"613","DOM",1938,1900,2011
"614","DOM",1939,1900,2011
"615","DOM",1940,-9,2011
"616","DOM",1941,-9,2011
"617","DOM",1942,2113,2011
"618","DOM",1943,2355,2011
"619","DOM",1944,3141,2011
"620","DOM",1945,3574,2011
"621","DOM",1946,3856,2011
"622","DOM",1947,5500,2011
"623","DOM",1948,-9,2011
"624","DOM",1949,-9,2011
"625","DOM",1950,17649,2011
"626","DOM",1951,-9,2011
"627","DOM",1952,-9,2011
"628","DOM",1953,25178,2011
"629","DOM",1954,22369,2011
"630","DOM",1955,30372,2011
"631","DOM",1956,-9,2011
"632","DOM",1957,-9,2011
"633","DOM",1958,34500,2011
"634","DOM",1959,42600,2011
"635","DOM",1960,33400,2011
"636","DOM",1961,31600,2011
"637","DOM",1962,33100,2011
"638","DOM",1963,34000,2011
"639","DOM",1964,37000,2011
"640","DOM",1965,35000,2011
"641","DOM",1966,32400,2011
"642","DOM",1967,31200,2011
"643","DOM",1968,32500,2011
"644","DOM",1969,31000,2011
"645","DOM",1970,31600,2011
"646","DOM",1971,31900,2011
"647","DOM",1972,34400,2011
"648","DOM",1973,36600,2011
"649","DOM",1974,47600,2011
"650","DOM",1975,57200,2011
"651","DOM",1976,67400,2011
"652","DOM",1977,75800,2011
"653","DOM",1978,87100,2011
"654","DOM",1979,158000,2011
"655","DOM",1980,165000,2011
"656","DOM",1981,118000,2011
"657","DOM",1982,128000,2011
"658","DOM",1983,129000,2011
"659","DOM",1984,156000,2011
"660","DOM",1985,50990,2011
"661","DOM",1986,68690,2011
"662","DOM",1987,76600,2011
"663","DOM",1988,60000,2011
"664","DOM",1989,60620,2011
"665","DOM",1990,57210,2011
"666","DOM",1991,34790,2011
"667","DOM",1992,59000,2011
"668","DOM",1993,108000,2011
"669","DOM",1994,115000,2011
"670","DOM",1995,109000,2011
"671","DOM",1996,116000,2011
"672","DOM",1997,119000,2011
"673","DOM",1998,115000,2011
"674","DOM",1999,114000,2011
"675","DOM",2000,169000,2011
"676","DOM",2001,156000,2011
"677","DOM",2002,229000,2011
"678","DOM",2003,156000,2011
"679","DOM",2004,128000,2011
"680","DOM",2005,273000,2011
"681","DOM",2006,256000,2011
"682","DOM",2007,271000,2011
"683","DOM",2008,278000,2011
"684","DOM",2009,265000,2011
"685","DOM",2010,231000,2011
"686","DOM",2011,342000,2011
"687","DOM",2012,363000,2011
"688","JAM",1962,980,2011
"689","JAM",1963,4201,2011
"690","JAM",1964,4481,2011
"691","JAM",1965,4761,2011
"692","JAM",1966,5013,2011
"693","JAM",1967,5321,2011
"694","JAM",1968,5741,2011
"695","JAM",1969,5321,2011
"696","JAM",1970,6441,2011
"697","JAM",1971,7788,2011
"698","JAM",1972,8863,2011
"699","JAM",1973,14520,2011
"700","JAM",1974,16939,2011
"701","JAM",1975,21999,2011
"702","JAM",1976,29260,2011
"703","JAM",1977,31020,2011
"704","JAM",1978,27419,2011
"705","JAM",1979,25014,2011
"706","JAM",1980,23448,2011
"707","JAM",1981,36112,2011
"708","JAM",1982,35997,2011
"709","JAM",1983,39014,2011
"710","JAM",1984,26332,2011
"711","JAM",1985,25557,2011
"712","JAM",1986,20620,2011
"713","JAM",1987,25060,2011
"714","JAM",1988,34000,2011
"715","JAM",1989,27680,2011
"716","JAM",1990,32520,2011
"717","JAM",1991,24600,2011
